Timestamp,GHI,DNI,DHI,ModA,ModB,Tamb,RH,WS,WSgust,WSstdev,WD,WDstdev,BP,Cleaning,Precipitation,TModA,TModB,Comments
2021-10-31,246.92164897311238,209.8922710586368,103.70591328504813,259.0924397261633,254.05655322948706,28.432771108244868,71.98331183649172,2.154618513741443,2.834973707709098,0.4768131759103086,227.1448457188213,10.04473658101002,976.1527929358072,0.000793729536660383,0.0,34.984036114693914,36.257386645500546,
2021-11-30,245.34988425925926,253.42884953703705,75.00831712962963,266.17160185185185,253.83413425925926,28.900421296296294,46.99758796296297,1.788111111111111,2.4198194444444443,0.45040740740740737,147.78247685185184,8.411678240740741,975.2360648148148,0.0004166666666666667,0.00020138888888888886,33.73710648148148,34.682997685185185,
2021-12-31,231.435145609319,213.9324350358423,89.76624327956989,253.39399417562726,243.68629256272402,26.293189964157705,23.904220430107525,2.2460304659498207,3.059404121863799,0.5370855734767025,72.22097670250896,9.35964829749104,976.3639336917563,0.00026881720430107527,0.0,29.050004480286738,30.07359094982079,
2022-01-31,238.42691756272401,219.42216621863798,90.36983422939068,252.7937567204301,247.34079525089604,25.1326814516129,19.06428539426523,3.1332190860215055,4.095170250896057,0.6148163082437277,67.25953405017921,10.702670250896057,977.6441532258065,0.0003136200716845878,0.0,27.897627688172044,28.74360887096774,
2022-02-28,257.6588194444444,172.2294568452381,131.35926587301586,266.01708333333335,253.2039236111111,28.268621031746033,15.535734126984128,2.451455853174603,3.2465054563492064,0.5391741071428572,72.88269097222222,9.607986111111112,975.8090773809524,0.0004464285714285714,0.0,31.52104662698413,32.62650297619048,
2022-03-31,252.16927643369175,114.93163530465951,157.59064516129033,246.40948700716845,229.34225358422938,32.5115188172043,31.19348342293907,2.029551971326165,2.7940994623655917,0.5129525089605735,152.4176366487455,10.320365143369175,973.1864471326165,0.000985663082437276,0.0,37.59016353046595,38.34174731182796,
2022-04-30,252.30727777777778,143.57625694444445,131.56796527777777,233.90374305555554,229.5296087962963,30.888090277777778,56.53884722222222,3.0878680555555555,4.1663194444444445,0.6526712962962963,218.06944444444446,13.105722222222221,973.463125,0.0010185185185185184,0.0017314814814814814,36.94566898148148,38.2775,
2022-05-31,238.43271729390682,129.29799283154122,128.20394265232974,210.5514448924731,206.3829950716846,29.719370519713262,64.06193772401433,2.9639560931899642,4.051142473118279,0.6575604838709678,213.10316532258065,13.146798835125448,975.9691980286739,0.0007168458781362007,0.0009543010752688173,35.51379480286739,37.1521729390681,
2022-06-30,237.57611805555558,133.51052083333335,124.70092592592593,208.29827546296298,205.50726620370372,27.73288425925926,71.74074768518518,2.5505324074074074,3.5242291666666667,0.6101087962962963,215.1483472222222,12.121456018518519,976.2186342592593,0.00037037037037037035,0.001914351851851852,33.261317129629624,34.63494212962963,
2022-07-31,203.1133803763441,94.87592965949821,124.71038082437276,181.2509296594982,179.0767943548387,26.264928315412185,79.86258960573477,2.514182347670251,3.4822513440860217,0.6073319892473118,216.26240815412189,11.448084677419354,977.1922715053763,0.0005152329749103943,0.0031586021505376344,30.908304211469535,31.760607078853045,
2022-08-31,189.01723566308246,81.05982974910394,123.40462813620071,175.0128046594982,173.18657930107528,25.294935035842293,85.67130824372761,2.2234610215053765,3.1168906810035844,0.573380376344086,215.82693772401433,10.567022849462367,976.3618503584229,0.0004032258064516129,0.00280241935483871,29.985250896057348,30.90437724014337,
2022-09-30,177.7395578703704,83.20469907407407,111.7673587962963,171.62762731481482,169.78921296296295,24.97047453703704,88.00397222222223,1.6183449074074074,2.298763888888889,0.4601296296296296,170.57818055555558,8.535384259259258,976.9228703703703,0.0004166666666666667,0.004541666666666667,29.60328472222222,30.541002314814815,
2022-10-31,245.41966956974622,168.62373773907004,111.30956569543704,249.11482885333177,244.38091490408266,26.765897977489075,76.08289690691821,1.7026330256647666,2.3823066462197273,0.47266282804317006,158.66366424582623,9.074870518792858,976.6610341135962,0.00046294956743149794,0.0016000694424351146,32.87542316483898,34.40084777639536,
